id,non_ego_model,ego_model,cloudiness,precipitation,fog_density,front,back,across,Max_dist_from_centre,Collisions,Min_dist_from_non_ego,Dist_to_dest
12,5,1,3,18,4,5,2,2,1.392125129699707,0,0.2950279116630554,0.13380785477467072
12,5,1,3,18,4,5,2,2,1.3666887283325195,0,0.2950279116630554,0.1333472300798465
13,5,4,21,31,7,4,5,3,1.4493540525436401,0,0.0017139994306489825,0.13378561460054839
13,5,4,21,31,7,4,5,3,1.4410115480422974,0,0.0017139994306489825,0.13212207647470328
13,5,4,21,31,7,4,5,3,1.5245239734649658,0,0.0017139994306489825,0.1354223642593775
13,5,4,21,31,7,4,5,3,1.1311205625534058,0,0.0017139994306489825,0.13806824806409004
13,5,4,21,31,7,4,5,3,1.4916009902954102,0,0.0017139994306489825,0.13594719079824594
13,5,4,21,31,7,4,5,3,1.228197455406189,0,0.0017139994306489825,0.1396332031641251
13,5,4,21,31,7,4,5,3,1.4390078783035278,0,0.0017139994306489825,0.1351010371477176
13,5,4,21,31,7,4,5,3,1.4813505411148071,0,0.0017139994306489825,0.13207147060296473
13,5,4,21,31,7,4,5,3,1.4665727615356445,0,0.0017139994306489825,0.13224069888775164
13,5,4,21,31,7,4,5,3,1.4815930128097534,0,0.0017139994306489825,0.13192054552909654
14,24,21,71,87,62,1,3,2,1.9194303750991821,0,0.26999732851982117,0.12393898841662285
14,24,21,71,87,62,1,3,2,1.9009943008422852,0,0.26999732851982117,0.12427953573373648
14,24,21,71,87,62,1,3,2,1.9138120412826538,0,0.26999732851982117,0.12261122923630935
14,24,21,71,87,62,1,3,2,1.8893083333969116,0,0.26999732851982117,0.123871033008282
14,24,21,71,87,62,1,3,2,1.891218662261963,0,0.26999732851982117,0.1259728211622972
14,24,21,71,87,62,1,3,2,1.9134594202041626,0,0.26999732851982117,0.1224377216436924
14,24,21,71,87,62,1,3,2,1.8735159635543823,0,0.26999732851982117,0.1274556624583709
14,24,21,71,87,62,1,3,2,1.8917596340179443,0,0.26999732851982117,0.12188293995001377
14,24,21,71,87,62,1,3,2,1.932841181755066,0,0.26999732851982117,0.1225744516421587
14,24,21,71,87,62,1,3,2,1.9323453903198242,0,0.26999732851982117,0.12534622045663688
15,5,2,17,28,43,3,0,3,1.8725224733352661,0,0.007202979177236557,0.12717238450661683
15,5,2,17,28,43,3,0,3,1.9328434467315674,0,0.007202979177236557,0.12985809032733625
15,5,2,17,28,43,3,0,3,1.6989623308181763,0,0.007202979177236557,0.12573997790996844
15,5,2,17,28,43,3,0,3,1.1436258554458618,0,0.007202979177236557,0.13481663434933394
15,5,2,17,28,43,3,0,3,1.2780604362487793,0,0.007202979177236557,0.13940873512854943
15,5,2,17,28,43,3,0,3,1.1194703578948975,0,0.007202979177236557,0.13578284092438528
15,5,2,17,28,43,3,0,3,1.6356581449508667,0,0.007202979177236557,0.13596314650315505
15,5,2,17,28,43,3,0,3,1.209370493888855,0,0.007202979177236557,0.14040708541870117
15,5,2,17,28,43,3,0,3,1.5710104703903198,0,0.007202979177236557,0.12952611385247645
15,5,2,17,28,43,3,0,3,1.8316978216171265,0,0.007202979177236557,0.1287076534369053
16,5,8,70,82,60,5,4,1,1.925212025642395,0,0.30434954166412354,0.12322335365491036
16,5,8,70,82,60,5,4,1,1.92582106590271,0,0.30434954166412354,0.12257216526911809
16,5,8,70,82,60,5,4,1,1.929396390914917,0,0.30434954166412354,0.1172028566018129
16,5,8,70,82,60,5,4,1,1.9314833879470825,0,0.29502883553504944,0.12182877613947941
16,5,8,70,82,60,5,4,1,1.8846306800842285,0,0.29502883553504944,0.11723825259086414
16,5,8,70,82,60,5,4,1,1.9117517471313477,0,0.29502883553504944,0.11938872704139122
16,5,8,70,82,60,5,4,1,1.9288915395736694,0,0.29502883553504944,0.12539144662710336
16,5,8,70,82,60,5,4,1,1.9255104064941406,0,0.30434954166412354,0.12183836178901868
16,5,8,70,82,60,5,4,1,1.916519045829773,0,0.30434954166412354,0.12270300204937275
16,5,8,70,82,60,5,4,1,1.9010871648788452,0,0.29502883553504944,0.12058656643598507
17,17,4,84,100,69,4,4,3,1.0945261716842651,0,0.0017139994306489825,0.13716783279027694
17,17,4,84,100,69,4,4,3,0.9969139099121094,0,0.0017139994306489825,0.14007411858974358
17,17,4,84,100,69,4,4,3,1.0869354009628296,0,0.0017139994306489825,0.13789658668713692
17,17,4,84,100,69,4,4,3,1.0443060398101807,0,0.0017139994306489825,0.13896544774373373
17,17,4,84,100,69,4,4,3,1.0155818462371826,0,0.0017139994306489825,0.1392198831607134
17,17,4,84,100,69,4,4,3,1.0850849151611328,0,0.0017139994306489825,0.1389600558158679
17,17,4,84,100,69,4,4,3,1.0580756664276123,0,0.0017139994306489825,0.14159196462386694
17,17,4,84,100,69,4,4,3,1.2769289016723633,0,0.0017139994306489825,0.13722610473632812
17,17,4,84,100,69,4,4,3,1.0505454540252686,0,0.0017139994306489825,0.14008139341305464
17,17,4,84,100,69,4,4,3,0.9925665259361267,0,0.0017139994306489825,0.1432663110586313
18,13,25,10,60,39,1,4,5,1.0440335273742676,0,0.2950279116630554,0.14040204806205553
18,13,25,10,60,39,1,4,5,1.2919214963912964,0,0.3043486177921295,0.13376991565410906
18,13,25,10,60,39,1,4,5,1.0130122900009155,0,0.2950279116630554,0.14121005473992762
