id,non_ego_model,ego_model,cloudiness,precipitation,fog_density,front,back,across,Max_dist_from_centre,Collisions,Min_dist_from_non_ego,Dist_to_dest
19,6,9,53,25,82,1,3,3,2.8419604301452637,0,1.0903279871854465e-05,0.322936239508833
19,6,9,53,25,82,1,3,3,2.842005729675293,0,3.8143512938404456e-05,0.31933508343385936
19,6,9,53,25,82,1,3,3,2.8420820236206055,0,0.00012902951857540756,0.32331941046413987
19,6,9,53,25,82,1,3,3,2.842146873474121,0,4.2948147893184796e-05,0.33439773808097645
20,1,21,47,2,39,0,5,4,2.8428337574005127,0,0.26999732851982117,0.32038064875795036
20,1,21,47,2,39,0,5,4,2.842946767807007,0,0.26999732851982117,0.3314370083340445
20,1,21,47,2,39,0,5,4,2.842475414276123,0,0.26999732851982117,0.33408483526945854
20,1,21,47,2,39,0,5,4,2.842830181121826,0,0.26999732851982117,0.33040709924549944
20,1,21,47,2,39,0,5,4,2.8428850173950195,0,0.26999732851982117,0.31894217356037824
20,1,21,47,2,39,0,5,4,2.8434810638427734,0,0.26999732851982117,0.32950162641018355
20,1,21,47,2,39,0,5,4,2.842635154724121,0,0.26999732851982117,0.33527157792384277
20,1,21,47,2,39,0,5,4,2.8417487144470215,0,0.26999732851982117,0.3172183850435338
20,1,21,47,2,39,0,5,4,2.842574119567871,0,0.26999732851982117,0.33337525029463505
20,1,21,47,2,39,0,5,4,2.842442035675049,0,0.26999732851982117,0.32318890896060476
21,24,5,36,7,83,5,1,0,2.843632698059082,0,0.11755821108818054,0.3265019163350655
21,24,5,36,7,83,5,1,0,2.845071315765381,0,0.15168941020965576,0.319715098486568
21,24,5,36,7,83,5,1,0,2.8446338176727295,0,0.0975104495882988,0.313781976946384
21,24,5,36,7,83,5,1,0,2.8439016342163086,0,0.08926897495985031,0.31944904110424277
21,24,5,36,7,83,5,1,0,2.844745397567749,0,0.19410820305347443,0.33434253444099626
21,24,5,36,7,83,5,1,0,2.844093084335327,0,0.12008112668991089,0.3234199308929917
21,24,5,36,7,83,5,1,0,2.844097852706909,0,0.014477088116109371,0.32239904571343847
21,24,5,36,7,83,5,1,0,2.8447461128234863,0,0.09800884127616882,0.32962566817558786
21,24,5,36,7,83,5,1,0,2.8446438312530518,0,0.11538514494895935,0.311696911548508
21,24,5,36,7,83,5,1,0,2.8445050716400146,0,0.07909329980611801,0.32821485643672843
22,13,24,33,94,96,4,2,4,2.845029830932617,43,-4.086183616891503e-05,0.32292080517268845
22,13,24,33,94,96,4,2,4,2.8449196815490723,0,1.1238765864618472e-06,0.3323312875773322
22,13,24,33,94,96,4,2,4,2.8453521728515625,22,-4.8161542508751154e-05,0.3306287274365588
22,13,24,33,94,96,4,2,4,2.8450467586517334,24,-4.6953577111708e-05,0.31894759776796894
22,13,24,33,94,96,4,2,4,2.8451032638549805,22,-3.217165431124158e-05,0.3306810710398093
22,13,24,33,94,96,4,2,4,2.84460186958313,66,-3.522775659803301e-05,0.3225067408896035
